COMPANY NAME,ADDRESS,CATEGORY,START DATE,EXPIRY DATE
Habaripay Limited,"173B Moshood Olugbani Street, Off Ligali Ayorinde Street, Victoria Island.",Value Added Services SCN ,01/04/2022,31/03/2027
Friends Wireless Limited,"Block D1, No 23 Ndjamena Crescent, Wuse II, FCT Abuja.",Value Added Services SCN ,01/12/2021,30/11/2026
Access Solutions Limited,"House 4, Adamu Shuaibu Crescent, Off 69 Road, Gwarinpa Estate, Abuja",Value Added Services SCN ,01/05/2022,30/04/2027
Up Digital Limited,"No. 3, Idowu Taylor Street, Victoria Island, Lagos",Value Added Services SCN ,01/05/2022,30/04/2027
Homewin Nigeria Limited,"5th Floor, 188, Awolowo Road, Ikoyi, Lagos.",Value Added Services SCN ,01/05/2022,30/04/2027
LSSBI Advisory Limited,"No 160, Awolowo Road, Ikoyi, Lagos.",Value Added Services SCN ,01/05/2022,30/04/2027
Network Logistics Ltd,"No 57, Adebayo Mokuolu Street, Anthony Village, Lagos State.",Value Added Services SCN ,01/05/2022,30/04/2027
Global Accelerex Limited,"No 8 Eric Moore Street, Wemaboo Estate, Off Ajao Road, Ikeja, Lagos State.",Value Added Services SCN ,01/05/2022,30/04/2027
Transnet Music Nigeria Limited,"No 2A Isaac John Street, GRA Ikeja, Lagos State.",Value Added Services SCN ,01/05/2022,30/04/2027
Mindshare Datatech Limited,"15 Ikorodu - Ososun Road, Maryland Ikeja",Value Added Services SCN ,01/05/2022,30/04/2027
Sagecom Concept Limited,"3rd Floor, Old Sketch Building, Cocoa Complex, Dugbe Ibadan, Oyo State",Value Added Services CDS ,01/05/2022,30/04/2027
Aces Technology Limited,11a Chris Efunyemi Onanuga Street lekki phase 1,Value Added Services SCN ,01/05/2022,30/04/2027
Super BFW Company Limited,"No 45C Sobo Arobiodu Street, Ikeja GRA, Lagos State.",Value Added Services SCN ,01/05/2022,30/04/2027
Dieustar Ltd,"House 3 Sere Courts Estate, Muftau Eletu street Osapa London Lagos",Value Added Services SCN ,01/05/2022,30/04/2027
Swifta Systems and Services Limited,"No 6B Crown Estate, Orisasauya Street, Oniru Estate, Victoria Island, Lagos",Value Added Services SCN ,01/05/2022,30/04/2027
Ghmore Limited,"No. 12s, Oba Disu Farombi Street, Orisunmibare Ejigbo, Lagos State.",Value Added Services SCN ,01/05/2022,30/04/2027
Deistech Solutions Limited,"Lennox Mall, Regus 3rd Floor, 3 Admiralty way, Lekki Phase 1, Lagos",Value Added Services CCS ,01/05/2022,30/04/2027
Vasimos Consult Nig Ltd,"Annex No 2, Awwal Plaza, Michael Okpara Street, Wuse Zone 5, Abuja, FCT.",Value Added Services SCN ,01/05/2022,30/04/2027
Tracknet Limited,"6th Floor, Landmark Tower, 5b Water Corporation Road, Victoria Island, Lagos.",Value Added Services SCN ,01/05/2022,30/04/2027
Prime Omega Technical Consult Limited,"No 3, Elbe Close, Off Panama Street, Maitama, Abuja.",Value Added Services SCN ,01/05/2022,30/04/2027
Eclipse Techsoft Solutions Limited,42 Blantyre Street Wuse 2 Abuja,Value Added Services SCN ,01/05/2022,30/04/2027
Virtual Switch International Limited ,"No 36, Noukchott Street,Wuse Zone 1, Abuja.",Value Added Services CCS ,01/05/2022,30/04/2027
Credratech International Limited,"No. 4, Emina Crescent, Off Toyin Street, Ikeja, Lagos",Value Added Services SCN ,01/06/2022,31/05/2027
Whispa  Konnect Limited,"No 27 Alara Street, Off Herbert Macaulay Road, Yaba, Lagos State",Value Added Services SCN ,01/06/2022,31/05/2027
5Linx Communication Services Limited,"Plot 585, Prince Abimbola Akinyemi Street, Omole Phase 2, Isheri Olowoora, Lagos.",Value Added Services SCN ,01/06/2022,31/05/2027
Digitech African Solutions Limited,"5B Mabinouri Street,Off Association Avenue, Isheri-OPIC, Lagos State",Value Added Services SCN ,01/08/2022,31/07/2027
ITSky Solutions LTD,"13b Fredrick Chiluba, Asokoro, Abuja",Value Added Services CCS ,01/09/2022,31/08/2027
Afroplay Limited,"Suite 15, Divine Grace Plaza, No. 15, Emmanuel Keshi Street, Magodo, Lagos",Value Added Services SCN ,01/09/2022,31/08/2027
Netapps Technologies Limited,"No. 4, Kenema Close, Off Sokono Street, Ademola Adetokunbo Crescent, Wuse 2, Abuja",Value Added Services SCN ,01/09/2022,31/08/2027
Terracotta Industries Ltd,"No. 27, New Dawaki Road, Unguwan Sarki, Kaduna",Value Added Services SCN ,01/09/2022,31/08/2027
OTT Value Added Services Ltd,"No. 15, Military Street, Onikan, Lagos",Value Added Services SCN ,01/09/2022,31/08/2027
Cynox IT Ltd,"Plot 2978, Logone Close, Off Erie Crescent, Off Nile Street, Maitama",Value Added Services CCS ,01/09/2022,31/08/2027
Swift Visiontech Limited,"No.70, Sahadatu Plaza, Allen Avenue Ikeja, Lagos.",Value Added Services CCS ,01/09/2022,31/08/2027
Silver Rock Technology & Digital Services Limited,"Plot 23, Block 15 Admiralty Way, Lekki Phase 1, Lagos.",Value Added Services SCN ,01/10/2022,30/09/2027
Gidhbo Limited,"No. 18, Alhaji A.K. Akintoye Avenue, Agodi GRA, Ibadan, Oyo State.",Value Added Services SCN ,01/09/2022,31/08/2027
FBIS Technologies Limited,"No. 11, Lavender Court, Oba Akolade Close, Yaba GRA, Lagos",Value Added Services SCN ,01/06/2022,31/05/2027
Emergency Air Medical Services Limited,"No. 36, 32 Crescent, Gwarinpa II, Off 3rd Avenue, Abuja.",Value Added Services SCN ,01/05/2022,30/04/2027
